#{"t_start": 1639590939.9665973, "env_id": null}
r,l,t
-21.0,1017,2154.28466
-20.0,1211,2161.608653
-20.0,1384,2163.625003
-21.0,1188,2171.150879
-20.0,1305,2179.117251
-20.0,1278,2181.080456
-21.0,1130,2188.750382
-21.0,1192,2190.525966
-21.0,1195,2198.187555
-21.0,1141,2205.811837
-21.0,1265,2207.647394
-21.0,1080,2214.711543
-20.0,1246,2216.517201
-21.0,1182,2223.753197
-21.0,1017,2225.283894
-20.0,1165,2232.395809
-19.0,1505,2240.188858
-21.0,1095,2241.873358
-21.0,1258,2249.285765
-20.0,1122,2250.974427
-21.0,1421,2258.757888
-21.0,1082,2265.849645
-21.0,1185,2267.628965
-21.0,1076,2275.268469
-21.0,1335,2277.234749
-21.0,1090,2284.561352
-21.0,1096,2286.275662
-21.0,1176,2293.821495
-21.0,1089,2300.79864
-21.0,1102,2302.397603
-21.0,1129,2309.508126
-21.0,1161,2311.244703
-21.0,1101,2318.681944
-21.0,1107,2320.314092
-21.0,1105,2328.048747
-21.0,1102,2329.618382
-21.0,1100,2337.657848
-21.0,1167,2345.771012
-21.0,1117,2347.676962
-21.0,1087,2355.482369
-21.0,1056,2357.135512
-20.0,1300,2364.772778
-21.0,1059,2366.311788
-20.0,1415,2373.665956
-21.0,1103,2375.281969
-21.0,1396,2383.138409
-21.0,1112,2392.61643
-21.0,1146,2394.367642
-21.0,1258,2402.728646
-21.0,1093,2404.447971
-20.0,1125,2412.653097
-21.0,1179,2420.740436
-21.0,1067,2422.523807
-21.0,1108,2430.687108
-21.0,1165,2432.454969
-21.0,1093,2439.955678
-21.0,1181,2441.760891
-21.0,1099,2449.461149
-21.0,1090,2451.160442
-21.0,1090,2459.563628
-21.0,1184,2461.451414
-21.0,1106,2470.147021
-21.0,1176,2478.657497
-21.0,1109,2480.447474
-20.0,1195,2488.624587
-21.0,1178,2490.482335
-21.0,1175,2499.04586
-20.0,1210,2500.889975
-20.0,1125,2509.434025
-21.0,1170,2517.911662
-20.0,1116,2519.738489
-21.0,1289,2528.353796
-21.0,1106,2530.081613
-21.0,1103,2537.763044
-21.0,1044,2539.437006
-21.0,1093,2547.403575
-21.0,1091,2549.085114
-20.0,1121,2557.133192
-21.0,1053,2558.81035
-21.0,1050,2567.08179
-21.0,1106,2568.901014
-20.0,1106,2576.891282
-21.0,1107,2585.392209
-21.0,1263,2587.332638
-20.0,1119,2596.145833
-21.0,1262,2598.097929
-21.0,1183,2606.327375
-20.0,1147,2608.161816
-21.0,1258,2616.095646
-21.0,1264,2624.461116
-21.0,1438,2626.798526
-20.0,1232,2634.659107
-21.0,1258,2642.160717
-21.0,1086,2643.838365
-20.0,1117,2651.18793
-21.0,1186,2652.950866
-20.0,1211,2661.041128
-21.0,1115,2662.822121
-21.0,1116,2671.171517
-21.0,1087,2678.559665
-21.0,1083,2680.170581
-21.0,1178,2688.007126
-21.0,1176,2689.695067
-21.0,1212,2697.380799
-21.0,1191,2699.126669
-21.0,1095,2706.344475
-21.0,1094,2707.890504
-21.0,1168,2714.914181
-21.0,1023,2721.565053
-21.0,1163,2723.340553
-21.0,1014,2730.982859
-19.0,1344,2733.084523
-21.0,1172,2741.148233
-21.0,1108,2742.86388
-21.0,1055,2750.283327
-20.0,1319,2752.315577
-21.0,1024,2759.488166
-20.0,1303,2767.695543
-21.0,1034,2769.267251
-20.0,1308,2777.333774
-21.0,1017,2778.841425
-21.0,1024,2786.13699
-21.0,1025,2787.72053
-21.0,1020,2795.054496
-21.0,1016,2796.649252
-21.0,1005,2804.83547
-21.0,1032,2806.490599
-21.0,1013,2814.944232
-21.0,1099,2816.639119
-21.0,1022,2824.287632
-21.0,1029,2825.87482
-21.0,1019,2833.750923
-21.0,1014,2835.214356
-21.0,1021,2842.397726
-21.0,1011,2843.940236
-21.0,1099,2851.383837
-21.0,1020,2852.926572
-21.0,1016,2860.512685
-21.0,1107,2862.228441
-21.0,1017,2870.522201
-21.0,1010,2872.115198
-21.0,1015,2879.862782
-21.0,1017,2881.410615
-21.0,1007,2889.260712
-21.0,1022,2890.785935
-21.0,1029,2898.066286
-21.0,1008,2899.680193
-21.0,1004,2907.749918
-21.0,1031,2909.346072
-21.0,1015,2917.794652
-21.0,1011,2919.422968
-21.0,1016,2926.818222
-21.0,1030,2928.444281
-21.0,1020,2936.544234
-21.0,1030,2938.200516
-21.0,1023,2946.4974
-21.0,1031,2947.995817
-20.0,1307,2956.278519
-20.0,1225,2963.526455
-21.0,1018,2965.096877
-21.0,1032,2973.321673
-21.0,1018,2974.878642
-21.0,1029,2982.901924
-21.0,1005,2984.414515
-19.0,1345,2992.109289
-21.0,1029,2993.737094
-21.0,999,3001.492373
-21.0,1023,3003.040604
-21.0,1275,3010.9047
-21.0,1009,3012.525016
-21.0,1016,3019.961752
-21.0,1022,3021.475277
-21.0,1019,3028.676111
-21.0,1006,3030.224318
-21.0,1015,3037.758169
-21.0,1013,3039.300527
-21.0,1188,3047.621867
-21.0,1015,3049.125252
-21.0,1102,3056.815213
